Half Inning,Inning,Outs,Balls,Strikes,Count,Date,Batter_Team,Pitcher_Team,,,Pitcher_R_Allowed,Pitcher_ER_Allowed,Batter,Pitcher,Batter_Side,Pitcher_Side,Pitch_Type,Outcome,Quality of Contact,Spray Chart,Runners,Pitch_Location_X,Pitch_Location_Y,REMEMBER TO INSERT THE X AND Y POINTS AFTER EVERY HALF INNING! DON'T MISCLICK PLOTS
Bottom 1,1,1,1,1,'1-1,"May 11, 2025",Toronto Maple Leafs,Kitchener Panthers,,,0,0,Spenser Ross,Andy Vargas,R,R,Offspeed,Ball,,,000,-1.536568571,-0.680858233,
Bottom 1,1,1,2,1,'2-1,"May 11, 2025",Toronto Maple Leafs,Kitchener Panthers,,,0,0,Spenser Ross,Andy Vargas,R,R,Offspeed,Ball,,,000,-1.29218,-0.373115477,
Bottom 1,1,1,3,1,'3-1,"May 11, 2025",Toronto Maple Leafs,Kitchener Panthers,,,0,0,Spenser Ross,Andy Vargas,R,R,Fastball,Called Strike,,,000,0.907317143,0.690795194,
Bottom 1,1,1,3,2,'3-2,"May 11, 2025",Toronto Maple Leafs,Kitchener Panthers,,,0,0,Spenser Ross,Andy Vargas,R,R,Offspeed,Strikeout Swinging,,,000,-1.047791429,-0.49621258,
Bottom 1,1,2,0,0,'0-0,"May 11, 2025",Toronto Maple Leafs,Kitchener Panthers,,,0,0,Rando Moreno,Andy Vargas,L,R,Fastball,Called Strike,,,000,0.063065714,0.857855548,
Bottom 1,1,2,0,1,'0-1,"May 11, 2025",Toronto Maple Leafs,Kitchener Panthers,,,0,0,Rando Moreno,Andy Vargas,L,R,Fastball,Single,Ground Ball,Opposite Field,000,1.107271429,0.646831943,
Bottom 1,1,2,0,0,'0-0,"May 11, 2025",Toronto Maple Leafs,Kitchener Panthers,,,0,0,Jordan Castaldo,Andy Vargas,L,R,Fastball,Ball,,,100,-1.13666,0.638039293,
Bottom 1,1,2,1,0,'1-0,"May 11, 2025",Toronto Maple Leafs,Kitchener Panthers,,,0,0,Jordan Castaldo,Andy Vargas,L,R,Offspeed,Ball,,,100,1.396094286,-0.100543322,
Bottom 1,1,2,2,0,'2-0,"May 11, 2025",Toronto Maple Leafs,Kitchener Panthers,,,0,0,Jordan Castaldo,Andy Vargas,L,R,Offspeed,Ball,,,100,1.562722857,0.849062898,
Bottom 1,1,2,3,0,'3-0,"May 11, 2025",Toronto Maple Leafs,Kitchener Panthers,,,0,0,Jordan Castaldo,Andy Vargas,L,R,Fastball,Walk,,,100,1.285008571,0.347881837,
Bottom 1,1,2,0,0,'0-0,"May 11, 2025",Toronto Maple Leafs,Kitchener Panthers,,,0,0,Marcus Knecht,Andy Vargas,R,R,Offspeed,Groundout,Ground Ball,Straightaway,110,-0.492362857,0.365467138,
Top 2,2,0,0,0,'0-0,"May 11, 2025",Kitchener Panthers,Toronto Maple Leafs,,,0,0,Yunior Ibarra,Ayami Sato,R,R,Offspeed,Swinging Strike,,,000,-0.78119,0.347882,
Top 2,2,0,0,1,'0-1,"May 11, 2025",Kitchener Panthers,Toronto Maple Leafs,,,0,0,Yunior Ibarra,Ayami Sato,R,R,Offspeed,Popout,Pop Up,Opposite Field,000,0.040849,0.163236,
Top 2,2,1,0,0,'0-0,"May 11, 2025",Kitchener Panthers,Toronto Maple Leafs,,,0,0,Charlie Towers,Ayami Sato,L,R,Fastball,Ball,,,000,1.285009,0.514942,
Top 2,2,1,1,0,'1-0,"May 11, 2025",Kitchener Panthers,Toronto Maple Leafs,,,0,0,Charlie Towers,Ayami Sato,L,R,Offspeed,Ball,,,000,0.018631,-0.54897,
Top 2,2,1,2,0,'2-0,"May 11, 2025",Kitchener Panthers,Toronto Maple Leafs,,,0,0,Charlie Towers,Ayami Sato,L,R,Offspeed,Called Strike,,,000,1.218357,0.224785,
Top 2,2,1,2,1,'2-1,"May 11, 2025",Kitchener Panthers,Toronto Maple Leafs,,,0,0,Charlie Towers,Ayami Sato,L,R,Fastball,Foul,,,000,1.173923,-0.08296,
Top 2,2,1,2,2,'2-2,"May 11, 2025",Kitchener Panthers,Toronto Maple Leafs,,,0,0,Charlie Towers,Ayami Sato,L,R,Offspeed,Foul,,,000,-1.09223,0.172029,
Top 2,2,1,2,2,'2-2,"May 11, 2025",Kitchener Panthers,Toronto Maple Leafs,,,0,0,Charlie Towers,Ayami Sato,L,R,Offspeed,Strikeout Swinging,,,000,-1.15888,-0.19726,
Top 2,2,2,0,0,'0-0,"May 11, 2025",Kitchener Panthers,Toronto Maple Leafs,,,0,0,Jamie Cabral,Ayami Sato,R,R,Offspeed,Groundout,Ground Ball,Opposite Field,000,-0.00359,0.602869,
Bottom 2,2,0,0,0,'0-0,"May 11, 2025",Toronto Maple Leafs,Kitchener Panthers,,,0,0,Dennis Dei Banning,Andy Vargas,R,R,Fastball,Called Strike,,,000,0.685146,0.189614,
Bottom 2,2,0,0,1,'0-1,"May 11, 2025",Toronto Maple Leafs,Kitchener Panthers,,,0,0,Dennis Dei Banning,Andy Vargas,R,R,Fastball,Called Strike,,,000,-0.93671,0.532527,
Bottom 2,2,0,0,2,'0-2,"May 11, 2025",Toronto Maple Leafs,Kitchener Panthers,,,0,0,Dennis Dei Banning,Andy Vargas,R,R,Offspeed,Ball,,,000,-0.20354,-0.24123,
Bottom 2,2,0,1,2,'1-2,"May 11, 2025",Toronto Maple Leafs,Kitchener Panthers,,,0,0,Dennis Dei Banning,Andy Vargas,R,R,Fastball,Ball,,,000,-0.89227,0.040139,
Bottom 2,2,0,2,2,'2-2,"May 11, 2025",Toronto Maple Leafs,Kitchener Panthers,,,0,0,Dennis Dei Banning,Andy Vargas,R,R,Offspeed,Strikeout Swinging,,,000,-0.69232,0.470979,
Bottom 2,2,1,0,0,'0-0,"May 11, 2025",Toronto Maple Leafs,Kitchener Panthers,,,0,0,Mike Cecchetto,Andy Vargas,R,R,Offspeed,Ball,,,000,-1.62544,-0.41708,
Bottom 2,2,1,1,0,'1-0,"May 11, 2025",Toronto Maple Leafs,Kitchener Panthers,,,0,0,Mike Cecchetto,Andy Vargas,R,R,Offspeed,Called Strike,,,000,-0.71453,0.119273,
Bottom 2,2,1,1,1,'1-1,"May 11, 2025",Toronto Maple Leafs,Kitchener Panthers,,,0,0,Mike Cecchetto,Andy Vargas,R,R,Offspeed,Ball,,,000,1.285009,0.638039,
Bottom 2,2,1,2,1,'2-1,"May 11, 2025",Toronto Maple Leafs,Kitchener Panthers,,,0,0,Mike Cecchetto,Andy Vargas,R,R,Fastball,Swinging Strike,,,000,-0.44793,0.550113,
Bottom 2,2,1,2,2,'2-2,"May 11, 2025",Toronto Maple Leafs,Kitchener Panthers,,,0,0,Mike Cecchetto,Andy Vargas,R,R,Fastball,Ball,,,000,1.240574,0.119273,
Bottom 2,2,1,3,2,'3-2,"May 11, 2025",Toronto Maple Leafs,Kitchener Panthers,,,0,0,Mike Cecchetto,Andy Vargas,R,R,Fastball,Walk,,,000,1.462746,-0.19726,
